우유가 아프면 뭐라고 할까? 앙팡
양파를 까는데 걸리는 시간은? 어니언
있을 수 있고 없을 수 있는 섬 이름은? 아마도
용이 하늘로 올라간다를 4글자로 하면? 올라가용
세상에서 가장 잔인한 비빔밥은? 산채비빔밥
개발자가 가진 차는? Char
